Date,Open,High,Low,Close,Volume
2008-01-01,27.46,0.001,27.46,27.46,0.01
2008-01-02,27.35,0.002,27.34,27.57,1447513
2008-01-03,27.36,0.003,27.08,27.33,3042581
2008-01-04,27.4,0.004,27.19,27.41,2567857
2008-01-07,27,0.005,26.69,26.69,4416122
2008-01-08,26.75,0.006,26.6,26.75,4380262
2008-01-09,26.54,0.007,26.11,26.35,6452342
2008-01-10,26.44,0.008,26.11,26.11,6263272
2008-01-11,26.3,0.009,25.71,25.72,7464135
2008-01-14,25.31,0.01,25.11,25.68,8364990
2008-01-15,26,0.011,25.66,26.09,9269669
2008-01-16,25.57,0.012,25.31,25.94,8898598
2008-01-17,26.11,0.013,25.75,26.2,11128630
2008-01-18,25.59,0.014,25.5,26.93,7932953
2008-01-21,26.65,0.015,26.1,26.2,8836731
2008-01-22,25.36,0.016,24.35,24.35,14266170
2008-01-23,25.69,0.017,24.9,25.22,14706940
2008-01-24,25.9,0.018,25.67,26.02,8396795
2008-01-25,26.25,0.019,26.23,27.49,9586347
2008-01-28,27.49,0.02,27.49,27.49,0
2008-01-29,27.5,0.021,26.31,26.45,7457012
2008-01-30,26.94,0.022,25.85,25.99,6567215
2008-01-31,25.5,0.023,25.14,26.01,8637879
2008-02-01,26.38,0.024,26.15,26.89,7175158
2008-02-04,27.25,0.025,26.3,26.7,7354632
2008-02-05,26.93,0.026,26.36,26.4,5004652
2008-02-06,25.68,0.027,25.29,25.44,6212978
2008-02-07,25.39,0.028,24.44,25,8216784
2008-02-08,25.38,0.029,25.2,25.6,4479468
2008-02-11,25.5,0.03,24.56,24.8,4822789
2008-02-12,25.05,0.031,24.46,25.3,6818056
2008-02-13,25.18,0.032,23.6,23.8,12789090
2008-02-14,24.01,0.033,23.63,24.44,14188570
2008-02-15,23.9,0.034,23.56,23.91,6800048
2008-02-18,22.82,0.035,22.41,22.46,12512080
2008-02-19,22.65,0.036,22.53,22.6,10153990
2008-02-20,22.9,0.037,21.9,22,9422466
2008-02-21,22.25,0.038,20.83,22,17642060
2008-02-22,21.65,0.039,21.35,22.36,9018543
2008-02-25,22.71,0.04,22.3,22.6,8289539
2008-02-26,22.66,0.041,22.4,22.87,9157164
2008-02-27,23,0.042,22.99,23.55,8532197
2008-02-28,23.18,0.043,22.52,22.7,6931671
2008-02-29,22.38,0.044,21.63,22,10021170
2008-03-03,21.2,0.045,20.93,20.93,7931076
2008-03-04,20.97,0.046,20.56,21.44,11277240
2008-03-05,21.56,0.047,20.49,21.31,11636930
2008-03-06,21.76,0.048,20.97,21.19,10537940
2008-03-07,20.28,0.049,19.91,20.26,11685020
2008-03-10,19.76,0.05,19.38,19.99,11974980
2008-03-11,19.53,0.051,19.39,20.85,12067060
2008-03-12,22.35,0.052,21.75,22.05,11252990
2008-03-13,22,0.053,21.2,21.47,13402560
2008-03-14,22,0.054,21.09,21.6,8417921
2008-03-17,20.6,0.055,20.03,20.54,13417940
2008-03-18,20.75,0.056,20.57,21,11795280
2008-03-19,22.26,0.057,21.98,22.69,14602980
2008-03-20,22.6,0.058,22.2,22.98,26036570
2008-03-21,22.98,0.059,22.98,22.98,0
2008-03-24,22.98,0.06,22.98,22.98,0
2008-03-25,23.98,0.061,23.76,24.33,11288520
2008-03-26,24.34,0.062,23.58,24.12,5891533
2008-03-27,23.66,0.063,23.66,23.85,10074300
2008-03-28,23.36,0.064,22.61,23.18,17646370
2008-03-31,22.8,0.065,22.48,22.55,9076011
2008-04-01,22.8,0.066,22.06,22.41,7592251
2008-04-02,23.45,0.067,23.16,23.54,10397260
2008-04-03,23.65,0.068,23.1,24.14,8648189
2008-04-04,24.25,0.069,23.56,23.56,7528598
2008-04-07,22.3,0.07,22.01,22.01,15787690
2008-04-08,21.99,0.071,21.55,21.67,12652250
2008-04-09,21.61,0.072,20.96,20.96,12023780
2008-04-10,20.69,0.073,20.29,20.57,12517030
2008-04-11,20.5,0.074,20.41,20.94,7478886
2008-04-14,20.3,0.075,20.25,20.45,5685942
2008-04-15,20.16,0.076,19.95,20.4,12115760
2008-04-16,20.8,0.077,20.36,20.71,8861644
2008-04-17,21.35,0.078,20.72,20.72,9796093
2008-04-18,20.65,0.079,20.05,20.05,7310478
2008-04-21,20.5,0.08,20.4,21.5,9384809
2008-04-22,21.2,0.081,20.85,21.14,8214107
2008-04-23,21.09,0.082,21.09,22.03,18470440
2008-04-24,21.65,0.083,21.5,21.51,15086780
2008-04-25,21.51,0.084,21.51,21.51,0
2008-04-28,22.03,0.085,21.91,22.2,11167020
2008-04-29,22.41,0.086,21.87,22.06,8707891
2008-04-30,21.9,0.087,21.65,21.9,6547897
2008-05-01,21.77,0.088,21.6,21.67,4861558
2008-05-02,22.25,0.089,22.23,22.86,7665961
2008-05-05,23.01,0.09,22.96,23.25,10526120
2008-05-06,23.1,0.091,22.72,22.9,6671695
2008-05-07,23.17,0.092,22.3,22.3,10526980
2008-05-08,21.39,0.093,21.12,22.17,9130911
2008-05-09,22.36,0.094,22.2,23,15004100
2008-05-12,23.5,0.095,23.33,23.7,11435090
2008-05-13,24.15,0.096,23.05,23.13,12427060
2008-05-14,23,0.097,22.6,22.72,9388146
2008-05-15,22.87,0.098,22.31,22.31,8400275
2008-05-16,22.55,0.099,22.31,22.95,11143560
2008-05-19,23.15,0.1,22.63,22.68,7953660
2008-05-20,22.51,0.101,22.1,22.1,8567921
2008-05-21,21.8,0.102,21.55,21.59,6790879
2008-05-22,21.25,0.103,21.12,21.49,11265240
2008-05-23,21.6,0.104,20.98,21,10814110
2008-05-26,20.8,0.105,20.75,21.15,8773373
2008-05-27,20.92,0.106,20.92,21.33,6834802
2008-05-28,21.5,0.107,21.09,21.42,9055977
2008-05-29,21.65,0.108,21.26,21.35,7573741
2008-05-30,21.28,0.109,21.11,21.68,13864320
2008-06-02,21.5,0.11,20.81,20.9,9408276
2008-06-03,20.56,0.111,20.22,20.38,12453020
2008-06-04,20.46,0.112,20.34,20.47,9048508
2008-06-05,20.5,0.113,20.44,20.75,7928898
2008-06-06,21.2,0.114,20.48,20.74,6898542
2008-06-09,20.74,0.115,20.74,20.74,0
2008-06-10,20.21,0.116,19.98,20.08,10892880
