Date,Open,,Low,Close,Volume
2008-01-01,27.46,1.1,27.46,27.46,0.01
2008-01-02,27.35,1.1998334166,27.34,27.57,1447513
2008-01-03,27.36,1.2986693308,27.08,27.33,3042581
2008-01-04,27.4,1.3955202067,27.19,27.41,2567857
2008-01-07,27,1.4894183423,26.69,26.69,4416122
2008-01-08,26.75,1.5794255386,26.6,26.75,4380262
2008-01-09,26.54,1.6646424734,26.11,26.35,6452342
2008-01-10,26.44,1.7442176872,26.11,26.11,6263272
2008-01-11,26.3,1.8173560909,25.71,25.72,7464135
2008-01-14,25.31,1.8833269096,25.11,25.68,8364990
2008-01-15,26,1.9414709848,25.66,26.09,9269669
2008-01-16,25.57,1.9912073601,25.31,25.94,8898598
2008-01-17,26.11,2.032039086,25.75,26.2,11128630
2008-01-18,25.59,2.0635581854,25.5,26.93,7932953
2008-01-21,26.65,2.08544973,26.1,26.2,8836731
2008-01-22,25.36,2.0974949866,24.35,24.35,14266170
2008-01-23,25.69,2.099573603,24.9,25.22,14706940
2008-01-24,25.9,2.0916648105,25.67,26.02,8396795
2008-01-25,26.25,2.0738476309,26.23,27.49,9586347
2008-01-28,27.49,2.0463000877,27.49,27.49,0
2008-01-29,27.5,2.0092974268,26.31,26.45,7457012
2008-01-30,26.94,1.9632093666,25.85,25.99,6567215
2008-01-31,25.5,1.9084964038,25.14,26.01,8637879
2008-02-01,26.38,1.8457052122,26.15,26.89,7175158
2008-02-04,27.25,1.7754631806,26.3,26.7,7354632
2008-02-05,26.93,1.6984721441,26.36,26.4,5004652
2008-02-06,25.68,1.6155013718,25.29,25.44,6212978
2008-02-07,25.39,1.5273798802,24.44,25,8216784
2008-02-08,25.38,1.4349881502,25.2,25.6,4479468
2008-02-11,25.5,1.3392493292,24.56,24.8,4822789
2008-02-12,25.05,1.2411200081,24.46,25.3,6818056
2008-02-13,25.18,1.1415806624,23.6,23.8,12789090
2008-02-14,24.01,1.0416258566,23.63,24.44,14188570
2008-02-15,23.9,0.9422543059,23.56,23.91,6800048
2008-02-18,22.82,0.844458898,22.41,22.46,12512080
2008-02-19,22.65,0.7492167723,22.53,22.6,10153990
2008-02-20,22.9,0.6574795567,21.9,22,9422466
2008-02-21,22.25,0.5701638591,20.83,22,17642060
2008-02-22,21.65,0.4881421091,21.35,22.36,9018543
2008-02-25,22.71,0.4122338408,22.3,22.6,8289539
2008-02-26,22.66,0.3431975047,22.4,22.87,9157164
2008-02-27,23,0.2817228889,22.99,23.55,8532197
2008-02-28,23.18,0.2284242276,22.52,22.7,6931671
2008-02-29,22.38,0.1838340633,21.63,22,10021170
2008-03-03,21.2,0.1483979261,20.93,20.93,7931076
2008-03-04,20.97,0.1224698823,20.56,21.44,11277240
2008-03-05,21.56,0.1063089964,20.49,21.31,11636930
2008-03-06,21.76,0.1000767424,20.97,21.19,10537940
2008-03-07,20.28,0.1038353912,19.91,20.26,11685020
2008-03-10,19.76,0.1175473874,19.38,19.99,11974980
2008-03-11,19.53,0.1410757253,19.39,20.85,12067060
2008-03-12,22.35,0.1741853177,21.75,22.05,11252990
2008-03-13,22,0.2165453443,21.2,21.47,13402560
2008-03-14,22,0.2677325578,21.09,21.6,8417921
2008-03-17,20.6,0.3272355124,20.03,20.54,13417940
2008-03-18,20.75,0.3944596744,20.57,21,11795280
2008-03-19,22.26,0.4687333621,21.98,22.69,14602980
2008-03-20,22.6,0.5493144574,22.2,22.98,26036570
2008-03-21,22.98,0.6353978206,22.98,22.98,0
2008-03-24,22.98,0.7261233352,22.98,22.98,0
2008-03-25,23.98,0.8205845018,23.76,24.33,11288520
2008-03-26,24.34,0.9178374957,23.58,24.12,5891533
2008-03-27,23.66,1.0169105972,23.66,23.85,10074300
2008-03-28,23.36,1.1168139005,22.61,23.18,17646370
2008-03-31,22.8,1.2165492049,22.48,22.55,9076011
2008-04-01,22.8,1.3151199881,22.06,22.41,7592251
2008-04-02,23.45,1.4115413635,23.16,23.54,10397260
2008-04-03,23.65,1.5048499206,23.1,24.14,8648189
2008-04-04,24.25,1.5941133511,23.56,23.56,7528598
2008-04-07,22.3,1.6784397644,22.01,22.01,15787690
2008-04-08,21.99,1.7569865987,21.55,21.67,12652250
2008-04-09,21.61,1.8289690401,20.96,20.96,12023780
2008-04-10,20.69,1.8936678638,20.29,20.57,12517030
2008-04-11,20.5,1.9504366206,20.41,20.94,7478886
2008-04-14,20.3,1.9987080958,20.25,20.45,5685942
2008-04-15,20.16,2.0379999768,19.95,20.4,12115760
2008-04-16,20.8,2.067919672,20.36,20.71,8861644
2008-04-17,21.35,2.0881682339,20.72,20.72,9796093
2008-04-18,20.65,2.0985433454,20.05,20.05,7310478
2008-04-21,20.5,2.0989413418,20.4,21.5,9384809
2008-04-22,21.2,2.0893582466,20.85,21.14,8214107
2008-04-23,21.09,2.0698898108,21.09,22.03,18470440
2008-04-24,21.65,2.0407305567,21.5,21.51,15086780
2008-04-25,21.51,2.0021718338,21.51,21.51,0
2008-04-28,22.03,1.9545989081,21.91,22.2,11167020
2008-04-29,22.41,1.8984871126,21.87,22.06,8707891
2008-04-30,21.9,1.8343970979,21.65,21.9,6547897
2008-05-01,21.77,1.7629692301,21.6,21.67,4861558
2008-05-02,22.25,1.6849171929,22.23,22.86,7665961
2008-05-05,23.01,1.6010208565,22.96,23.25,10526120
2008-05-06,23.1,1.5121184852,22.72,22.9,6671695
2008-05-07,23.17,1.4190983623,22.3,22.3,10526980
2008-05-08,21.39,1.3228899141,21.12,22.17,9130911
2008-05-09,22.36,1.2244544235,22.2,23,15004100
2008-05-12,23.5,1.1247754255,23.33,23.7,11435090
2008-05-13,24.15,1.0248488795,23.05,23.13,12427060
2008-05-14,23,0.9256732188,22.6,22.72,9388146
2008-05-15,22.87,0.8282393736,22.31,22.31,8400275
2008-05-16,22.55,0.7335208707,22.31,22.95,11143560
2008-05-19,23.15,0.6424641062,22.63,22.68,7953660
2008-05-20,22.51,0.5559788891,22.1,22.1,8567921
2008-05-21,21.8,0.4749293511,21.55,21.59,6790879
2008-05-22,21.25,0.4001253124,21.12,21.49,11265240
2008-05-23,21.6,0.3323141902,20.98,21,10814110
2008-05-26,20.8,0.2721735309,20.75,21.15,8773373
2008-05-27,20.92,0.22030424,20.92,21.33,6834802
2008-05-28,21.5,0.1772245784,21.09,21.42,9055977
2008-05-29,21.65,0.1433649837,21.26,21.35,7573741
2008-05-30,21.28,0.1190637699,21.11,21.68,13864320
2008-06-02,21.5,0.1045637467,20.81,20.9,9408276
2008-06-03,20.56,0.1000097934,20.22,20.38,12453020
2008-06-04,20.46,0.1054474118,20.34,20.47,9048508
2008-06-05,20.5,0.1208222708,20.44,20.75,7928898
2008-06-06,21.2,0.1459807501,20.48,20.74,6898542
2008-06-09,20.74,0.1806714743,20.74,20.74,0
2008-06-10,20.21,0.2245478253,19.98,20.08,10892880
2008-06-11,20.41,0.277171405,20.13,20.4,9895391
2008-06-12,19.99,0.3380164161,19.57,19.57,10675840
2008-06-13,19.99,0.4064749152,18.85,19.65,18093410
2008-06-16,19.71,0.4818628878,19.22,19.4,8370855
2008-06-17,19.53,0.563427082,18.98,19.75,13879280
2008-06-18,19.5,0.6503525355,19.27,19.51,13123590
2008-06-19,18.99,0.7417707178,18.68,18.68,16403710
2008-06-20,18.8,0.8367682086,18.3,18.78,11969950
2008-06-23,18.45,0.9343958246,18.25,18.6,10499750
2008-06-24,18.4,1.0336781026,17.91,17.95,16162670
2008-06-25,18.16,1.1336230472,18.03,18.62,13043320
2008-06-26,19.02,1.2332320414,18.95,19,13302080
2008-06-27,18.11,1.3315098251,18,18.95,20676750
2008-06-30,19.1,1.4274744391,18.65,18.72,12857920
2008-07-01,18.78,1.5201670368,17.7,17.77,11136000
2008-07-02,17.9,1.6086614644,17.5,18.3,17228120
2008-07-03,18,1.6920735147,17.91,18.71,12517220
2008-07-04,18.95,1.7695697622,18.66,19.52,12393470
2008-07-07,19.42,1.84037589,18.83,19.2,9274959
2008-07-08,19.15,1.9037844266,18.59,18.6,7778017
2008-07-09,19.14,1.9591618149,18.65,18.8,12675280
2008-07-10,18.22,2.0059547423,18.07,18.37,12816420
2008-07-11,18.16,2.0436956694,17.91,17.95,9900119
2008-07-14,17.9,2.0720075014,17.52,17.8,10763970
2008-07-15,17.55,2.0906073557,17.1,17.12,9761461
2008-07-16,16.95,2.0993093887,16.89,18.09,15620330
2008-07-17,18.8,2.0980266527,18.3,18.39,11532400
2008-07-18,18.45,2.0867719643,18.1,18.21,7583131
2008-07-21,18.6,2.0656577765,18.55,18.8,8317427
2008-07-22,18.52,2.0348950555,18.06,18.07,10676140
2008-07-23,18.5,1.9947911721,18.36,18.9,19234270
2008-07-24,18.73,1.9457468311,18.72,19.45,20017200
2008-07-25,18.18,1.8882520674,17.6,17.75,20886890
2008-07-28,16.22,1.8228813495,15.4,15.81,37087340
2008-07-29,15.51,1.7502878402,15.46,15.53,26829310
2008-07-30,16.1,1.6711968697,15.9,16.1,15809310
2008-07-31,16.48,1.5863986889,16.08,16.25,21616680
2008-08-01,16.1,1.4967405731,15.99,16.17,8900129
2008-08-04,16.25,1.4031183567,16.16,16.45,5718260
2008-08-05,16.45,1.3064674819,16.2,17.01,13209210
2008-08-06,17.62,1.2077536523,17.52,17.99,15801020
2008-08-07,17.85,1.1079631838,17.57,17.99,13307370
2008-08-08,17.5,1.0080931498,17.32,17.35,11731700
2008-08-11,17.71,0.9091414186,17.53,17.78,7167732
2008-08-12,17.88,0.8120966833,17.35,17.47,11432960
2008-08-13,17.17,0.7179285828,16.88,16.99,13565290
